x,y
516.0127058,393.0145139
436.2117622,408.6565849
512.0526012,372.0220136
489.1404645,401.8071594
446.2079859,338.5166822
516.4143943,354.1946332
499.3863531,414.4322961
489.3139371,408.0665956
440.1093924,394.8216766
444.1191708,367.8503051
430.8531367,364.0463181
462.7448851,411.3374508
525.390835,344.2468509
489.9870399,366.080455
513.9066881,378.0179973
485.212895,347.6738397
529.120055,359.8463187
518.6871304,382.7215566
464.5499943,317.7993655
489.1362873,322.4817914
517.0391005,359.4994999
501.924084,406.5793763
517.3271821,407.1939073
482.4187003,402.3376873
502.8058242,348.7704175
493.3914849,396.1919795
494.2250926,320.3687051
506.7176077,321.3100159
477.906008,376.6104354
475.7710041,385.6888465
526.3674862,385.9015929
458.4423104,412.2611059
541.4330242,349.1140024
478.2167532,375.6246257
460.5624526,391.5014153
530.4595984,400.3740378
522.9458641,366.8870077
482.9750995,385.9668065
494.3666172,412.2156096
539.5281302,428.940196
488.6095005,352.8908423
463.1618097,433.6460556
515.9308341,365.3147131
510.5066111,356.9058436
468.1945532,436.0717679
482.6366921,416.6518975
491.7874294,377.3912061
479.6792213,391.9782906
507.0110518,413.986641
416.8202611,406.4029812
493.3263135,447.4476281
425.0833565,391.5358349
419.7509494,357.607321
484.4617012,387.1707757
440.6937746,444.2206921
453.8305226,372.8275481
475.2397225,389.9782813
426.0135613,399.3393722
489.3020773,368.903425
478.5477777,372.178967
479.8175236,439.2756686
467.8251555,410.9771353
468.5219093,423.1356146
475.7890889,405.9752332
422.0058413,410.9910161
494.8695769,376.3584622
449.8698888,358.9459333
457.4432053,381.6507838
477.4318864,422.1844686
450.9193086,399.8004119
510.8075527,348.377082
483.1816862,427.3981309
420.6607637,428.164189
506.8198439,425.4232887
434.523234,344.2390696
430.3840144,333.0579206
505.0431677,356.3928094
463.7004461,421.1900351
437.5793754,330.1355366
428.1966466,383.6569881
511.1332852,340.9957202
440.2125937,328.1965288
478.8221441,354.2341594
488.4427715,381.50688
507.327902,371.7424804
506.69484,399.8196376
424.3229851,408.2575355
509.2539398,402.5540714
493.1196808,388.9357322
505.8126816,364.0988012
474.4914727,382.8801592
497.9418829,350.3835043
420.0597558,368.2888402
430.2735537,424.9100503
464.9592155,383.761736
502.6855028,345.0661247
448.1928586,396.9329547
419.6696077,378.318283
468.5147986,428.3690766
497.10362,413.6801445
448.2154017,395.2008223
429.4627137,406.0475223
455.0539823,394.1376707
502.8316948,359.3735911
475.4035957,374.7118042
476.9640019,384.1563958
481.5396021,363.0793819
511.610556,365.1395627
469.4879876,353.457341
517.0349678,426.9829264
504.7570572,400.0938213
502.2796482,396.6139289
443.6691903,395.720535
515.4117036,378.6268695
514.3296181,335.6531661
429.8885106,409.4434442
641.5721022,230.0060802
579.9098991,252.9621446
580.2409894,221.7516489
648.7161822,229.628601
589.4281086,273.5895264
656.6638122,298.7604366
589.0447239,308.3739918
653.8047746,297.0234902
638.6084099,274.3977211
620.5486317,221.1964654
640.1912062,238.5171508
573.0899101,309.8295932
621.3628293,271.5788156
645.8934321,244.970719
638.4510823,253.2687774
631.2693317,244.7371719
637.71325,226.816263
630.2082469,259.0720905
600.4099365,255.9135514
650.3368647,259.3919504
592.9525643,287.2680029
622.3566629,297.8411793
598.7419295,226.7688963
634.2479018,272.1176054
572.6733753,305.9277601
572.5530777,300.9103724
580.3480176,266.507301
617.8740453,303.0137581
666.2247978,271.07813
639.3766909,275.641932
635.5402232,238.4286378
661.9020076,262.9359598
641.2718376,277.1364416
608.3247761,266.7819856
601.4925279,250.3339806
623.2670425,255.2526404
648.380655,296.5021074
581.8874323,227.3649867
662.232816,280.8786761
613.9442537,252.2167304
662.6190128,229.62204
637.2572488,219.9894277
585.042466,286.6328907
621.6600976,275.3024159
613.5473826,232.0363977
622.1540599,270.5563038
652.6568083,201.3288036
596.5691526,215.1879936
657.4719966,290.0555188
684.336491,292.925651
640.9284903,294.5390144
587.742797,262.6232883
636.1334674,269.9539087
683.3789233,283.5694745
616.3150307,272.71712
584.6106486,296.4686486
617.953221,306.0535175
584.7786477,227.7613084
647.6398401,249.9599252
